Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry,Secondary Industry
USA,Gwendolyn Sontheim Meyer,3.3,344,50,Food & Drinks,Finance
USA,Pauline MacMillan Keinath,3.3,344,78,Food & Drinks,Finance
USA,Whitney MacMillan,3.3,344,83,Food & Drinks,Finance
USA,Mary Alice Dorrance Malone,2.3,546,62,Food & Drinks,Food
USA,J. Christopher Reyes,2.1,601,58,Food & Drinks,
USA,Jude Reyes,2.1,601,56,Food & Drinks,
USA,Bennett Dorrance,1.8,719,66,Food & Drinks,Food
USA,Austen Cargill II,1.6,804,61,Food & Drinks,Finance
USA,James Cargill II,1.6,804,62,Food & Drinks,Finance
USA,Marianne Liebmann,1.6,804,58,Food & Drinks,Finance
Venezuela,Lorenzo Mendoza & family,3.4,330,46,Food & Drinks,Beverage
England,Bernard Ecclestone & family,2.8,418,81,Formula One,
USA,Rupert Johnson Jr,4.4,242,70,Franklin Resources,
Singapore,Sam Goi,1.2,1015,63,Food & Drinks,Frozen Foods
USA,Robert Rich Jr,2.1,601,71,Food & Drinks,
Australia,James Packer,4.7,223,44,Gaming,
Japan,Kunio Busujima & family,5.9,169,86,Gaming,
Japan,Han Changn.a.Woo & family,3.1,367,81,Gaming,
Japan,Kazuo Okada & family,1.8,719,69,Gaming,
Japan,Hajime Satomi,1.1,1075,70,Gaming,
Austria,Johann Graf,5.3,193,65,Gaming,
USA,Gordon Getty,2,634,78,Energy,Getty Oil
Greece,Aristotelis Mistakidis,2.8,418,50,Mining,
Spain,Daniel Mate,2.8,418,48,Mining,
England,Alex Beard,2.1,601,44,Mining,
USA,Tor Peterson,2.4,521,47,Mining,
Japan,Eitaro Itoyama,2.9,401,69,Leasure,Golf
Canada,David Cheriton,1.3,960,60,Internet,Google
Germany,Andreas von Bechtolsheim,2.3,546,56,Internet,Google
USA,Larry Page,18.7,24,39,Internet,Google
USA,Sergey Brin,18.7,24,38,Internet,v
USA,Eric Schmidt,6.9,138,56,Internet,Google
USA,Eric Lefkofsky,2.9,401,42,Internet,Groupon
Sweden,Stefan Persson,26,8,64,Retail,Clothing
Sweden,Liselott Persson,3.6,304,62,Retail,Clothing
USA,John Paul DeJoria,4,276,68,Beauty Products,
Brazil,Dulce Pugliese de Godoy Bueno,2,634,64,Health Care,
USA,Thomas Frist Jr & family,3.2,358,73,Health Care,
USA,Judy Faulkner,1.7,764,68,health IT,
Brazil,Edson de Godoy Bueno,2.2,578,68,Health Care,
Germany,Bernard Broermann,2.1,601,68,Health Care,
India,Malvinder & Shivinder Singh,3.5,314,39,Health Care,
USA,William Randolph Hearst III,2.3,546,62,Hearst Corp,
USA,Austin Hearst,1.9,683,59,Hearst Corp,
USA,David Hearst Jr,1.9,683,66,Hearst Corp,
USA,George Hearst Jr,1.9,683,84,Hearst Corp,
USA,Phoebe Hearst Cooke,1.9,683,85,Hearst Corp,
Germany,Martin Viessmann,1.6,804,58,heating equipment,
Ireland,Martin Naughton,2,634,72,heating equipment,
Indonesia,Achmad Hamami & family,2.2,578,81,Heavy Equipment,
South Korea,Chung Mongn.a.Joon,2.5,491,60,heavy industry,
USA,Henry Ross Perot Sr,3.5,314,81,High Tech,Real Estate
USA,Henry Ross Perot Jr,1.4,913,53,High Tech,Real Estate
USA,John Brown,1.2,1015,77,High Tech,medical technology
USA,Jon Stryker,1.2,1015,53,High Tech,medical technology
USA,Darwin Deason,1.1,1075,71,High Tech,Xerox
USA,James Clark,1,1153,68,High Tech,Computers
USA,John Morgridge,1,1153,78,High Tech,Networking
USA,David Green,4,276,70,Hobby Lobby,
USA,Bernard Marcus,2.3,546,82,Home Depot,
USA,Arthur Blank,1.4,913,69,Home Depot,
Brazil,Rubens Menin Teixeira de Souza,1.8,719,56,homebuilding,
USA,Tilman Fertitta,1.5,854,54,hospitality,
Australia,Paul Ramsay,1.7,764,76,Hospitals,
Norway,Petter Stordalen,1.2,1015,49,Leisure,Hotels
Spain,Gabriel Escarrer,1,1153,77,Leisure,Hotels
USA,Richard Marriott,1.7,764,73,Leisure,Hotels
USA,Bill Marriott Jr,1.6,804,80,Leisure,Hotels
USA,Elaine Wynn,1.4,913,68,Leisure,Hotels
USA,Karen Pritzker,3.1,367,54,Leisure,Investments
USA,Anthony Pritzker,2.6,464,51,Leisure,Investments
USA,Jay Robert (J.B.) Pritzker,2.6,464,47,Leisure,Investments
USA,Thomas Pritzker,2.2,578,61,Leisure,Investments
USA,Jean (Gigi) Pritzker,1.9,683,50,Leisure,Investments
USA,John Pritzker,1.8,719,59,Leisure,Investments
USA,Penny Pritzker,1.8,719,52,Leisure,Investments
USA,Daniel Pritzker,1.7,764,53,Leisure,Investments
USA,Linda Pritzker,1.6,804,58,Leisure,Investments
USA,James Pritzker,1.5,854,60,Leisure,Investments
USA,Nicholas Pritzker II,1.3,960,68,Leisure,Investments
USA,Barbara Carlson Gage,2.5,491,69,"hotels, restaurants",
USA,Marilyn Carlson Nelson,2.5,491,72,"hotels, restaurants",
Taiwan,Cher Wang & Wenchi Chen,4,276,54,HTC,
South Korea,Chung Mongn.a.Koo,6.2,161,74,Automotive,Hyundai
South Korea,Chung Euin.a.Sun,2.8,418,41,Automotive,Hyundai
USA,Barry Diller,1.6,804,70,IAC/InterActiveCorp,
Sweden,Ingvar Kamprad & family,3,377,85,Ikea,
USA,James Irsay,1.4,913,52,Indianapolis Colts,
India,Shiv Nadar,5,205,66,Internet,information technology
USA,David Sun,2.8,418,60,Internet,information technology
USA,John Tu,2.8,418,71,Internet,information technology
India,G. M. Rao,1.9,683,61,Construction,Infrastructure
Brazil,Lia Maria Aguiar,1.1,1075,0,Inheritance,Inheritance
Israel,Idan Ofer,6.2,161,56,Inheritance,
Israel,Eyal Ofer,5.8,173,61,Inheritance,
Monaco,Lily Safra,1.2,1015,74,Inheritance,
Argentina,Maria Ines de Lafuente Lacroze,1.2,1015,67,Inheritance,
Peru,Eduardo Hochschild,2.2,578,48,Inheritance,Mining
Brazil,Jayme Garfinkel & family,1.8,719,65,Insurance,
Germany,Rolf Gerling,1.6,804,57,Insurance,
Italy,Ennio Doris & family,1.3,960,71,Insurance,
Russia,Nikolai Sarkisov,1.2,1015,43,Insurance,Real Estate
Russia,Sergei Sarkisov,1.2,1015,52,Insurance,Real Estate
Russia,Sergei Tsikalyuk,1,1153,53,Insurance,
South Korea,Shin Changn.a.Jae,1.9,683,58,Insurance,
USA,Warren Buffett,44,3,81,Insurance,
USA,George Joseph,1.2,1015,90,Insurance,
USA,Peter Lewis,1.2,1015,78,Insurance,
USA,Patrick Ryan,1.1,1075,74,Insurance,
USA,Gordon Moore,4.9,216,83,High Tech,Intel
China,Zhu Xingliang,1.4,913,52,Construction,interior decorating
China,Ma Huateng,4.7,223,40,Internet,
China,William Ding,2.8,418,40,Internet,
China,Jack Ma,2.7,442,47,Internet,
China,Zhang Zhidong,1.8,719,40,Internet,
France,Xavier Niel,4.5,232,44,Internet,Telecom
Germany,Ralph Dommermuth,1.8,719,48,Internet,internet service provider
USA,Jerry Yang,1.2,1015,43,Internet,Yahoo
USA,Scott Cook,1.4,913,59,Software,Intuit
China,Ke Xiping & family,1.2,1015,51,investments,
Russia,Alexander Mamut,2.1,601,52,investments,
Belgium,Albert Frere,3.6,304,86,investments,
Indonesia,Peter Sondakh,2.6,464,60,investments,Investments
USA,Barbara Piasecka Johnson,3.2,358,75,Pharmaceutical,Johnson & Johnson
France,Liliane Bettencourt,24,15,89,Beauty Products,L'Oreal
China,He Qiaonv & family,1.1,1075,46,Construction,landscape architecture
Russia,Valentin Gapontsev & family,1.1,1075,73,High Tech,Lasers
USA,Joe Jamail Jr,1.5,854,86,Lawsuits,Lawsuits
Israel,Shari Arison,3.9,288,54,Leisure,Carnival Cruises
USA,Micky Arison,4.7,223,62,Leisure,
Denmark,Kjeld Kirk Kristiansen,6,166,64,Manufacturing,Lego
USA,John Edson,1,1153,79,Leisure,leisure craft
USA,Carl Icahn,14,50,76,Finance,Leveraged Buyouts
USA,Ronald Perelman,12,69,69,Finance,Leveraged Buyouts
USA,Henry Kravis,4,276,68,Finance,Leveraged Buyouts
USA,George Roberts,3.6,304,68,Finance,Leveraged Buyouts
USA,Daniel D'Aniello,2.8,418,65,Finance,Leveraged Buyouts
USA,David Rubenstein,2.8,418,62,Finance,Leveraged Buyouts
USA,William Conway Jr,2.8,418,62,Finance,Leveraged Buyouts
USA,David Bonderman,1.9,683,69,Finance,Leveraged Buyouts
USA,James Coulter,1.9,683,52,Finance,Leveraged Buyouts
USA,Joshua Harris,1.6,804,47,Finance,Leveraged Buyouts
USA,Jonathan Nelson,1.5,854,55,Finance,Leveraged Buyouts
USA,Marc Rowan,1.5,854,50,Finance,Leveraged Buyouts
USA,Thomas Lee,1.4,913,67,Finance,Leveraged Buyouts
South Korea,Koo Bonn.a.Moo,1.8,719,67,High Tech,LG
USA,Reid Hoffman,1.8,719,44,Internet,LinkedIn
Canada,Charles Bronfman,2,634,80,Food & Drinks,Liquor
India,Vijay Mallya,1,1153,56,Food & Drinks,Liquor
Australia,Lindsay Fox,1.6,804,74,Logistics,Logistics
Russia,Vagit Alekperov,13.5,56,61,Energy,Lukoil
Russia,Leonid Fedun,6.5,146,55,Energy,Lukoil
Canada,Chip Wilson,2.9,401,55,Fashion,Clothing
South Africa,Johann Rupert & family,5.1,199,61,Luxury Goods,Luxury Goods
France,Bernard Arnault,41,4,63,Diversified,LVMH
Spain,Isak Andic & family,4.8,221,58,Fashion,Clothing
China,Liang Wengen,8.1,113,55,Manufacturing,
China,Wei Jianjun & family,2.3,546,48,Manufacturing,Automotive
China,Wang Chuanfu,1.9,683,46,Manufacturing,Automotive
China,Li Shufu,1.5,854,48,Manufacturing,Automotive
China,Lu Xiangyang,1.4,913,49,Manufacturing,Automotive
China,Tang Xiuguo,1.2,1015,48,Manufacturing,
China,Fang Wei,1.1,1075,38,Manufacturing,
China,Mao Zhongwu,1.1,1075,49,Manufacturing,
China,Xiang Wenbo,1.1,1075,49,Manufacturing,
China,Wen Yibo & family,1,1153,46,Manufacturing,
Germany,Susanne Klatten,13,59,49,Manufacturing,Pharmaceutical
Germany,Stefan Quandt,11.2,76,45,Manufacturing,Automotive
Germany,Johanna Quandt,10,88,85,Manufacturing,Automotive
Germany,Friedhelm Loh,2.6,464,65,Manufacturing,
Germany,Marian.a.Elisabeth & Georg Schaeffler,2,634,0,Manufacturing,
Germany,Siegfried Meister,1.9,683,74,Manufacturing,Appliances
Germany,Peter Unger,1.3,960,67,Manufacturing,Automotive
Taiwan,Wu Chungn.a.Yi,1,1153,53,Manufacturing,Manufacturing
USA,Mitchell Rales,3.7,296,55,Manufacturing,
USA,Steven Rales,3.3,344,60,Manufacturing,
USA,Shahid Khan,2.5,491,62,Manufacturing,Automotive
USA,Michael Heisley Sr,1.9,683,75,Manufacturing,
USA,William Ford Sr,1.2,1015,87,Manufacturing,Automotive
USA,Roger Penske,1.1,1075,75,Manufacturing,Automotive
USA,Jack Dangermond,2.2,578,66,Software,mapping software
USA,Isaac Perlmutter,1.9,683,69,Media,Marvel
Colombia,Woods Staton,1.7,764,62,Food & Drinks,Fast Food
Argentina,Eduardo Eurnekian,1.8,719,78,Media,Cable Tv
Australia,Kerry Stokes,2,634,71,Media,
Canada,David Thomson & family,17.5,35,54,Media,
Germany,Elizabeth Mohn & family,3.5,314,71,Media,
Germany,Yvonne Bauer & family,2,634,34,Media,Bauer Media Group
India,Kalanithi Maran,2.6,464,46,Media,
India,Indu Jain,2.2,578,75,Media,
India,Subhash Chandra,1.8,719,61,Media,
Indonesia,Hary Tanoesoedibjo,1.3,960,46,Media,
Italy,Silvio Berlusconi & family,5.9,169,75,Media,
Mexico,Emilio Azcarraga Jean,2,634,44,Media,
Thailand,Krit Ratanarak,1.2,1015,65,Media,Real Estate
Turkey,Aydin Dogan,1.1,1075,75,Media,
England,David & Frederick Barclay,3.2,358,78,Media,Retail
USA,Michael Bloomberg,22,20,70,Media,
USA,Anne Cox Chambers,12.5,61,92,Media,
USA,Samuel Newhouse Jr,7.1,131,84,Media,
USA,Donald Newhouse,6.4,153,82,Media,
USA,Blair Parryn.a.Okeden,6.3,157,61,Media,
USA,Jim Kennedy,6.3,157,64,Media,
USA,John Malone,5.1,199,71,Media,Cable TV
USA,Patrick McGovern,3.5,314,74,Media,
USA,Charles Dolan & family,2.6,464,85,Media,Cable TV
USA,Amos Hostetter Jr,2.4,521,75,Media,Cable TV
USA,Ted Turner,2,634,73,Media,Cable TV
USA,Gary Magness,1.6,804,58,Media,Finance
USA,Todd Wagner,1.2,1015,51,Media,online media
Venezuela,Gustavo Cisneros & family,4.2,255,66,Media,
Denmark,Niels Peter Louisn.a.Hansen,1.5,854,64,Manufacturing,Medical Devices
Switzerland,Hansjorg Wyss,8.1,113,77,Manufacturing,Medical Devices
USA,Gayle Cook,3.4,330,78,Manufacturing,Medical Devices
USA,James Leininger,1.1,1075,66,Manufacturing,Medical Devices
USA,Gary Michelson,1.4,913,63,Manufacturing,Medical Devices
USA,Ronda Stryker,2.5,491,57,High Tech,Medical Technology
USA,Pat Stryker,1.5,854,55,High Tech,Medical Technology
China,Liu Zhongtian,2,634,48,Mining,Processors
China,Zhang Shiping & family,3.5,314,65,Mining,
China,Huang Zelan,1.3,960,56,Mining,
Russia,Vladimir Potanin,14.5,46,51,Mining,
Russia,Igor Altushkin,1.6,804,41,Mining,
Russia,Andrei Kozitsyn,1.2,1015,51,Mining,
Russia,Alexander Nesis,3.1,367,49,Mining,Banking
Russia,Vasily Anisimov,3.4,330,60,Mining,Real Estate
Japan,Shigenobu Nagamori,2,634,67,Manufacturing,micro motors
USA,Bill Gates,61,2,56,Software,Microsoft
USA,Steve Ballmer,15.7,44,56,Software,Microsoft
USA,Paul Allen,14.2,48,59,Software,Investments
Australia,Georgina Rinehart,18,29,58,Mining,
Australia,Andrew Forrest,5.8,173,50,Mining,
Australia,Angela Bennett & Michael Wright,2.3,546,0,Mining,
Belgium,Patokh Chodiev,2.8,418,59,Mining,
Brazil,Eike Batista,30,7,55,Mining,Energy
Chile,Iris Fontbona & family,17.8,32,69,Mining,
Chile,Roberto Angelini Rossi,1.2,1015,63,Mining,Forestry
China,Feng Hailiang,1,1153,51,Mining,copper
India,Anil Agarwal,3.5,314,58,Mining,Metals
Israel,Beny Steinmetz,5.9,169,55,Mining,Real Estate
Israel,Alexander Machkevich,2.8,418,58,Mining,Metals
Kazakhstan,Vladimir Kim,3.5,314,51,Mining,
Kazakhstan,Alijan Ibragimov,2.8,418,58,Mining,Metals
Kazakhstan,Bulat Utemuratov,1.5,854,0,Mining,Banking
Mexico,Alberto Bailleres Gonzalez & family,16.5,38,80,Mining,
Mexico,German Larrea Mota Velasco & family,14.2,48,58,Mining,
Russia,Iskander Makhmudov,8.2,110,48,Mining,Manufacturing 
Russia,Alexander Frolov,2.4,521,47,Mining,Steel
South Africa,Patrice Motsepe,2.7,442,50,Mining,
USA,Robert Friedland,2.3,546,61,Mining,
Germany,Vladimir Iorich,1.6,804,53,Mining ,Steel
England,John Caudwell,2.6,464,59,Telecom,mobile phones
England,Charles Dunstone,1,1153,48,Telecom,
Canada,Stephen Jarislowsky,1.6,804,86,Finance,Money management
USA,Ken Fisher,1.7,764,61,Finance,Money management
USA,Bruce Karsh,1.5,854,57,Finance,Money management
USA,Howard Marks,1.5,854,65,Finance,Money management
USA,Charles Brandes,1.3,960,69,Finance,Money management
USA,Ron Baron,1.5,854,68,Finance,Money management
India,Brijmohan Lall Munjal,2.9,401,88,Manufacturing,motorcycles
India,Rahul Bajaj,1.8,719,73,Manufacturing,motorcycles
USA,Steven Spielberg,3,377,65,Entertainment,movie
USA,David Geffen,5.5,184,69,Entertainment,Music
USA,Terrence Pegula,3.1,367,61,Energy,natural gas
USA,Rodney Lewis,2.8,418,58,Energy,natural gas
USA,Dan Wilks,1.4,913,55,Energy,natural gas
USA,Farris Wilks,1.4,913,60,Energy,natural gas
USA,Min Kao,2.3,546,63,Manufacturing,navigation equipment
USA,Gary Burrell,1.4,913,74,navigation equipment,
USA,Jim Davis & family,1.9,683,68,Apparel,Clothing
USA,Robert Kraft,1.7,764,70,Sports,Football
Israel,Arnon Milchan,3.8,290,67,Entertainment,Distribution
USA,Alan Gerry,1.2,1015,82,Media,cable television
USA,Thomas Secunda,1.2,1015,57,Media,Bloomberg
USA,Rupert Murdoch,8.3,106,81,Media,News Corp
USA,Phil Knight,14.4,47,74,Fashion,Nike
Japan,Hiroshi Yamauchi,2.5,491,84,Manufacturing,Nintendo
India,Ajay Kalsi,2.1,601,0,Energy,Oil
Russia,Vladimir Bogdanov,2.9,401,60,Energy,Oil
USA,Jeffrey Hildebrand,5.3,193,53,Energy,Oil
USA,Kenneth Adams Jr,1.1,1075,89,Energy,Oil
Canada,Clayton Riddell,3,377,74,Energy,Oil & Gas
Canada,N. Murray Edwards,1.6,804,52,Energy,Oil & Gas
Russia,Gennady Timchenko,9.1,99,59,Energy,Oil & Gas
USA,Harold Hamm,11,78,66,Energy,Oil & Gas
USA,Trevor Reesn.a.Jones,3.6,304,60,Energy,Oil & Gas
USA,George Mitchell,2.2,578,92,Energy,Oil & Gas
USA,George Kaiser,10,88,69,Energy,Finance
USA,Lynn Schusterman,3.5,314,73,Energy,Finance
USA,Timothy Headington,2.7,442,61,Energy,Finance
USA,Evgeny (Eugene) Shvidler,1.4,913,48,Energy,Finance
USA,T. Boone Pickens,1.4,913,83,Energy,Finance
Russia,Alexander Dzhaparidze,1.8,719,56,Energy,Distribution
England,Ayman Asfari,1.8,719,53,Energy,Distribution
Switzerland,Jean Claude Gandur,2,634,63,Energy,Mining
Russia,Mikhail Fridman,13.4,57,47,Energy,Banking
Russia,German Khan,8.5,105,50,Energy,Banking
Russia,Alexei Kuzmichev,6.7,141,49,Energy,Banking
Russia,Pyotr Aven,4.3,248,57,Energy,Banking
Saudi Arabia,Mohammed Al Amoudi,12.5,61,67,Energy,Diversified
USA,William Koch,4,276,71,Energy,Investements
USA,Robert Bass,3.6,304,64,Energy,Investements
USA,Lee Bass,2.1,601,55,Energy,Investements
USA,Sid Bass,2.1,601,69,Energy,Investements
USA,Edward Bass,1.5,854,67,Energy,Investements
Russia,Viktor Vekselberg,12.4,64,54,Energy,Mining
Russia,Mikhail Gutseriev,6.7,141,54,Energy,Real Estate
USA,Ray Lee Hunt,5,205,69,Energy,Real Estate
Romania,Dinu Patriciu,1.5,854,61,Energy,Real Estate
USA,John Catsimatidis,2,634,63,Energy,Real Estate
USA,Robert Holding,2.6,464,85,Energy,Leisure
Russia,Andrei Kosogov,1.2,1015,51,Energy,Telecom
USA,Alexander Knaster,1.4,913,53,Energy,Telecom
South Korea,Kim Jungn.a.Ju & family,3.3,344,44,Internet,Gaming
South Korea,Kim Tackn.a.Jin,1.4,913,45,Internet,Gaming
USA,Mark Pincus,1.8,719,46,Internet,Gaming
USA,Mark Cuban,2.3,546,53,Internet,Media
Japan,Hiroshi Mikitani,6.2,161,47,Internet,Retail
Japan,Yusaku Maezawa,1.1,1075,36,Internet,Retail
Germany,Guenther Fielmann,2.6,464,72,Manufacturing,High Tech
USA,Larry Ellison,36,6,67,Software,
USA,Bharat Desai,1.4,913,59,Finance,Oursourcing
USA,Stephen Bisciotti,1.4,913,51,Finance,Sports
Sweden,Birgit Rausing & family,14,50,88,Manufacturing,Packaging
Sweden,Hans Rausing,10,88,86,Manufacturing,Packaging
India,Ashwin Dani,1.1,1075,69,Art,Collections
Indonesia,Martua Sitorus,3,377,52,Food & Drinks,Palm Oil
Malaysia,Lee Shin Cheng,5.2,196,73,Food & Drinks,Palm Oil
Singapore,Kuok Khoon Hong,3.5,314,62,Food & Drinks,Palm Oil
Chile,"Eliodoro, Bernardo & Patricia Matte",10.2,86,0,Manufacturing,Paper
China,Yan Cheung,1,1153,55,Manufacturing,Paper
Brazil,Liu Ming Chung,1,1153,49,Manufacturing,Paper
USA,Tom Golisano,1.5,854,70,Software,
USA,Peter Thiel,1.5,854,44,Internet,"Facebook, Paypal"
USA,David Duffield,1.3,960,71,Software,PeopleSoft
Japan,Keiichiro Takahara,3.1,367,81,Cosmetics,Personal Care
USA,Clayton Mathile,1.8,719,71,Manufacturing,pet food
China,Li Shuirong,2.3,546,55,Chemicals,Energy
Taiwan,Liao Longn.a.Shing,1.5,854,0,Chemicals,Energy
Taiwan,Suhon Lin,1.5,854,84,Chemicals,Energy
Taiwan,Tseng Shinn.a.yi,1.5,854,84,Chemicals,Energy
India,Mukesh Ambani,22.3,19,54,Chemicals,Energy
China,Que Wenbin & family,1,1153,48,Pharmaceuticals,
Canada,Bernard (Barry) Sherman,3.7,296,70,Pharmaceuticals,
China,Ma Xingtian & family,1.5,854,43,Pharmaceuticals,
China,Li Li,1.4,913,48,Pharmaceuticals,
China,Wu Yiling & family,1.4,913,62,Pharmaceuticals,
China,Li Tan,1.1,1075,47,Pharmaceuticals,
China,Xiu Laigui,1.1,1075,57,Pharmaceuticals,
China,Sun Piaoyang,1,1153,53,Pharmaceuticals,
China,Xu Jingren & family,1,1153,67,Pharmaceuticals,
France,Alain Merieux & family,3.7,296,74,Pharmaceuticals,
Germany,Curt Engelhorn,6.6,144,85,Pharmaceuticals,
Germany,Ludwig Merckle,5.1,199,47,Pharmaceuticals,
Germany,Andreas Strungmann,3.3,344,62,Pharmaceuticals,
Germany,Thomas Strungmann,3.3,344,62,Pharmaceuticals,
India,Dilip Shanghvi,7.4,124,56,Pharmaceuticals,
India,Pankaj Patel,2.2,578,59,Pharmaceuticals,
India,Desh Bandhu Gupta,2.1,601,74,Pharmaceuticals,
India,Ajay Piramal,1.4,913,56,Pharmaceuticals,
India,K. Anji Reddy,1.4,913,70,Pharmaceuticals,
Italy,Stefano Pessina,2.6,464,70,Pharmaceuticals,
USA,Patrick Soonn.a.Shiong,7.2,127,60,Pharmaceuticals,
USA,Randal Kirk,2.4,521,58,Pharmaceuticals,
USA,Phillip Frost,2.3,546,75,Pharmaceuticals,
USA,Michael Jaharis,1.9,683,83,Pharmaceuticals,
Turkey,Bulent Eczacibasi,1.2,1015,62,Pharmaceuticals,Diversified
Turkey,Faruk Eczacibasi,1.1,1075,57,Pharmaceuticals,Diversified
Canada,Daryl Katz,2,634,50,Retail,Pharmacies
Canada,Jean Coutu,1.6,804,84,Retail,Pharmacies
India,Yusuf Hamied,1.1,1075,75,Pharmaceuticals,Pharmacies
China,Fan Zhaoxia & family,1,1153,44,High Tech,photovoltaic equipment
USA,Richard Kinder,8.2,110,67,Energy,Distribution
USA,Dannine Avara,4.1,270,48,Energy,Distribution
USA,Milane Frantz,4.1,270,42,Energy,Distribution
USA,Randa Williams,4.1,270,50,Energy,Distribution
USA,Scott Duncan,4.1,270,29,Energy,Distribution
USA,Kelcy Warren,2.3,546,56,Energy,Distribution
USA,Ray Davis,1.5,854,70,Energy,Distribution
Italy,Paolo & Gianfelice Mario Rocca,6,166,0,Energy,Distribution
USA,Michael & Marian Ilitch,2.4,521,82,Food & Drinks,Pizza
Taiwan,Wang Yungn.a.tsai,3.2,358,91,Chemicals,
Israel,Teddy Sagi,1.2,1015,40,Internet,Leisure
USA,Herbert Kohler Jr & family,2.2,578,73,Manufacturing,
Indonesia,Sri Prakash Lohia,2,634,59,Manufacturing,Polyester
Thailand,Aloke Lohia,1.9,683,53,Manufacturing,Polyester
Russia,Alexander Ponomarenko,1.7,764,47,Finance,Transportation
Russia,Alexander Skorobogatko,1.7,764,44,Finance,Transportation
Philippines,Enrique Razon Jr,1.9,683,52,Finance,Transportation
Russia,Andrei Filatov,1.3,960,40,Finance,Transportation
Russia,Konstantin Nikolaev,1.3,960,41,Finance,Transportation
Russia,Nikita Mishin,1.3,960,40,Finance,Transportation
China,Fu Guangming & family,1.2,1015,58,Food & Drinks,Manufacturing
Russia,Konstantin Grigorishin,1.3,960,46,Energy,Power engineering
Russia,Mikhail Abyzov,1.3,960,39,Energy,Power engineering
Italy,Miuccia Prada,6.8,139,62,Fashion,Prada
Italy,Patrizio Bertelli,3.7,296,66,Fashion,Prada luxury goods
USA,Glen Taylor,1.8,719,70,Manufacturing,printing
USA,Leon Black,3.4,330,60,Finance,private equity
USA,Tom Gores,2.4,521,47,Finance,private equity
USA,Alec Gores,1.9,683,59,Finance,private equity
Germany,Friede Springer,3,377,69,Media,Publishing
Germany,Monika Schoeller,2,634,73,Media,Publishing
Germany,Stefan von Holtzbrinck,2,634,48,Media,Publishing
Germany,Hubert Burda,1.3,960,72,Media,Publishing
England,Richard Desmond,1.6,804,60,Media,Publishing
USA,Irwin Jacobs,1.4,913,78,High Tech,Manufacturing
USA,Daniel Gilbert,1.5,854,50,Finance,Investments
USA,Billy Joe (Red) McCombs,1.4,913,84,Media,Energy
USA,Ralph Lauren,7.5,122,72,Beauty Products,Ralph Lauren
Australia,Harry Triguboff,4,276,79,Real Estate,Real Estate
Australia,Stanley Perron,1.5,854,89,Real Estate,
Brazil,Elie Horn,1.9,683,66,Real Estate,
Canada,Carlo Fidani,2,634,57,Real Estate,
Canada,Mitchell Goldhar,1.5,854,51,Real Estate,
China,Hui Ka Yan,5.8,173,53,Real Estate,
China,Wu Yajun & family,5.7,178,48,Real Estate,
China,Yang Huiyan,4.7,223,30,Real Estate,
China,Wang Jianlin,4,276,57,Real Estate,
China,Zhang Xin & family,2.7,442,46,Real Estate,
China,Huang Rulun,2.6,464,60,Real Estate,
China,Chan Laiwa & family,2.3,546,71,Real Estate,
China,Huang Wei,2,634,52,Real Estate,
China,Tong Jinquan,1.6,804,57,Real Estate,
China,Zhang Li,1.6,804,59,Real Estate,
China,Yan Zhi,1.2,1015,39,Real Estate,
China,Geng Jianming,1.1,1075,49,Real Estate,
China,Huang Hongyun & family,1.1,1075,45,Real Estate,
China,Wang Wenxue,1.1,1075,44,Real Estate,
China,Zhang Guiping & family,1,1153,60,Real Estate,
France,Alain Taravella,1,1153,64,Real Estate,
Germany,Alexandra Schorghuber,2.2,578,53,Real Estate,
India,Kushal Pal Singh,6.4,153,80,Real Estate,
India,Chandru Raheja,1.7,764,71,Real Estate,
India,Vikas Oberoi,1.5,854,41,Real Estate,
India,Mangal Prabhat Lodha,1,1153,56,Real Estate,
Israel,Yitzhak Tshuva,1.9,683,63,Real Estate,
Japan,Akira Mori & family,3.5,314,75,Real Estate,
Japan,Katsumi Tada,2,634,66,Real Estate,
Japan,Minoru Mori,1.9,683,77,Real Estate,
Morocco,Miloud Chaabi,2.9,401,83,Real estate,
Morocco,Anas Sefrioui,1.6,804,54,Real estate,
Norway,Olav Thon,5,205,88,Real Estate,
Russia,God Nisanov,2.4,521,39,Real Estate,
Russia,Zarakh Iliev,2.4,521,45,Real Estate,
Singapore,Zhong Sheng Jian,1.4,913,54,Real Estate,
Spain,Manuel Jove,2.6,464,70,Real Estate,
Spain,Enrique Banuelos,1.5,854,46,Real Estate,
Taiwan,Lin Yun.a.lin,3,377,76,Real Estate,
Taiwan,Lin Rong San,2.8,418,72,Real Estate,
Taiwan,Chao Tengn.a.Hsiung,1.8,719,68,Real Estate,
England,Gerald Cavendish Grosvenor & family,11,78,60,Real Estate,
England,Charles Cadogan & family,4.6,230,75,Real Estate,
England,Eddie & Sol Zakay,3,377,61,Real Estate,
England,Ian & Richard Livingstone,3,377,0,Real Estate,
England,Hawken Xiu Li,1.7,764,49,Real Estate,
England,John Whittaker,1.7,764,70,Real Estate,
England,Nadhmi Auchi,1.5,854,74,Real Estate,
USA,Donald Bren,12,69,79,Real Estate,
USA,Richard LeFrak & family,5,205,66,Real Estate,
USA,Leonard Stern,4.2,255,73,Real Estate,
USA,John A. Sobrato & family,3.4,330,72,Real Estate,
USA,Ted Lerner,3.3,344,86,Real Estate,
