name,sex,age,height,weight,team,year,city,sport,event,medal
Peter Johann "Johnny" Weissmuller,M,23,NA,NA,United States,1928,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Melchior Wezel,M,24,NA,NA,Switzerland,1928,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Gold
Kazimierz Wierzyski,M,33,NA,NA,Poland,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Gold
Percy Alfred Williams,M,19,170,56,Canada,1928,Amsterdam,Athletics,Athletics Men's 100 metres,Gold
Percy Alfred Williams,M,19,170,56,Canada,1928,Amsterdam,Athletics,Athletics Men's 200 metres,Gold
Jan Wils,M,37,NA,NA,Netherlands,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
James Theodore "Jim" Workman,M,20,192,83,United States,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,Gold
Frank Clifford Wykoff,M,18,178,68,United States,1928,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
David King Young,M,21,NA,NA,United States,1928,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Paavo Ilmari Yrjl,M,25,183,82,Finland,1928,Amsterdam,Athletics,Athletics Men's Decathlon,Gold
Sayed Muhammad Yusuf,M,NA,NA,NA,India,1928,Amsterdam,Hockey,Hockey Men's Hockey,Gold
Victoriano Alberto Zorrilla,M,22,NA,NA,Argentina,1928,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold
Edgar Allen "Ed" Ablowich,M,19,182,68,United States,1932,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Olle Erik Curys kerlund,M,20,NA,NA,Bissbi,1932,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold
Richard James Allen,M,30,172,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
John Franklin Anderson,M,25,191,97,United States,1932,Los Angeles,Athletics,Athletics Men's Discus Throw,Gold
Edwin Yancey "Eddie" Argo,M,36,NA,NA,United States,1932,Los Angeles,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Sardar Mohammad Aslam,M,NA,NA,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
John Charles "Felix" Badcock,M,29,NA,NA,Great Britain,1932,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
Flix Pierre Victor Bailly,M,43,NA,NA,France,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
Istvn Barta (Berger),M,36,185,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Carmine R. "Carmen" Barth (DiBartolomeo-),M,19,175,72,United States,1932,Los Angeles,Boxing,Boxing Men's Middleweight,Gold
Raymond Henry "Benny" Bass,M,22,167,59,United States,1932,Los Angeles,Gymnastics,Gymnastics Men's Rope Climbing,Gold
Paul Friedrich Peter Bauer,M,35,NA,NA,Germany,1932,Los Angeles,Art Competitions,Art Competitions Mixed Literature,Gold
James Aloysius Bernard "Jim" Bausch,M,26,188,95,United States,1932,Los Angeles,Athletics,Athletics Men's Decathlon,Gold
Luigi Beccali,M,24,169,63,Italy,1932,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Gold
Jack Beresford,M,33,NA,NA,Great Britain,1932,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
ke Carl Magnus Bergqvist,M,31,NA,NA,Bissbi,1932,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold
"John Edward Biby, Jr.",M,20,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Dallas Denver Bixler,M,22,NA,NA,United States,1932,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
James Howard "Jim" Blair,M,22,183,76,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Lee Everett Blair,M,20,NA,NA,United States,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Gold
Lal Shah S. Bokhari,M,23,173,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Ren Henri Georges Bondoux,M,27,168,NA,France,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Nino Borsari,M,20,167,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Ren Bougnol,M,21,168,NA,France,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Jakob Brendel,M,24,NA,NA,Germany,1932,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
Frank Gerald Singlehurst Brewin,M,22,NA,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Gyrgy Brdy,M,24,185,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Georges Eugne William "Go" Buchard,M,38,170,NA,France,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
"Alphonse Adolph Burnand, Jr.",M,36,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Oreste Capuzzo,M,23,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
Mary Louise Carew (-Armstrong),F,18,157,45,United States,1932,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Kenneth Anton Carey,M,39,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
William Arthur "Bill" Carr,M,22,172,66,United States,1932,Los Angeles,Athletics,Athletics Men's 400 metres,Gold
William Arthur "Bill" Carr,M,22,172,66,United States,1932,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Richard John "Dickie" Carr,M,21,180,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
David Krynauw Enslin "Dave" Carstens,M,NA,NA,NA,South Africa,1932,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Gold
Philippe Louis Eugne Cattiau,M,40,165,NA,France,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Philippe Louis Eugne Cattiau,M,40,165,NA,France,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
Louis Chaillot,M,18,168,67,France,1932,Los Angeles,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Harry Dwight Chamberlin,M,45,NA,NA,United States,1932,Los Angeles,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Dhyan Chand Bais,M,26,169,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Charles Chandler,M,21,190,83,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Owen Porter Churchill,M,36,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Marco Cimatti,M,20,170,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Lewis Clive,M,21,NA,NA,Great Britain,1932,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
Georgia V. Coleman (-Gilson),F,20,NA,NA,United States,1932,Los Angeles,Diving,Diving Women's Springboard,Gold
William Hunting "Bill" Cooper,M,21,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Lillian Copeland (Drossin-),F,27,165,59,United States,1932,Los Angeles,Athletics,Athletics Women's Discus Throw,Gold
Giancarlo Cornaggia-Medici Peterbelli,M,27,170,NA,Italy,1932,Los Angeles,Fencing,"Fencing Men's epee, Individual",Gold
"Clarence Linden ""Buster"" Crabbe, Jr.",M,24,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,Gold
Francis Pierpont Davis,M,47,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Clara "Clare" Dennis (-Golding),F,16,NA,NA,Australia,1932,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,Gold
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,21,169,57,United States,1932,Los Angeles,Athletics,Athletics Women's 80 metres Hurdles,Gold
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,21,169,57,United States,1932,Los Angeles,Athletics,Athletics Women's Javelin Throw,Gold
Karl James Dorsey,M,38,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
David Coombs "Dave" Dunlap,M,21,189,86,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Ren Duverger,M,21,164,67,France,1932,Los Angeles,Weightlifting,Weightlifting Men's Lightweight,Gold
Hector Monroe "Hec" Dyer,M,22,188,75,United States,1932,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Hugh Robert Arthur Edwards,M,25,NA,NA,Great Britain,1932,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
Hugh Robert Arthur Edwards,M,25,NA,NA,Great Britain,1932,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
Hans Eller,M,21,NA,NA,Germany,1932,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
Istvn nekes,M,21,NA,51,Hungary,1932,Los Angeles,Boxing,Boxing Men's Flyweight,Gold
Edward Loring "Eddie" Flynn,M,22,168,67,United States,1932,Los Angeles,Boxing,Boxing Men's Welterweight,Gold
Ivan William Fuqua,M,22,175,64,United States,1932,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Evelyn Pearl Furtsch (-Ojeda),F,18,158,43,United States,1932,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Michael Riley "Mickey" Galitzen,M,22,NA,NA,United States,1932,Los Angeles,Diving,Diving Men's Springboard,Gold
Eleanor Agnes Garatti-Saville,F,23,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Edward Gardre,M,23,NA,NA,France,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Rowland David George,M,27,NA,NA,Great Britain,1932,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
Aladr Gerevich (-Gerei),M,22,177,78,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Alberto Ghilardi,M,22,167,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
William Evans Garrett Gilmore,M,37,NA,NA,United States,1932,Los Angeles,Rowing,Rowing Men's Double Sculls,Gold
Gyula Glykais,M,39,NA,NA,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Joseph Webster Golinkin,M,35,NA,NA,United States,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold
"Edward Lansing ""Ed"" Gordon, Jr.",M,24,190,82,United States,1932,Los Angeles,Athletics,Athletics Men's Long Jump,Gold
Giovanni Gozzi,M,29,162,NA,Italy,1932,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Norris James "Norey" Graham,M,25,166,55,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Edgar Laurence "Dunc" Gray,M,26,NA,NA,Australia,1932,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Gilbert T. Gray,M,30,NA,NA,Jupiter,1932,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,Gold
Thomas William "Tommy" Green,M,38,NA,NA,Great Britain,1932,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,Gold
Duncan Smith Gregg,M,22,193,82,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Savino Guglielmetti,M,20,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
Savino Guglielmetti,M,20,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,Gold
George Julius Gulack,M,27,NA,NA,United States,1932,Los Angeles,Gymnastics,Gymnastics Men's Rings,Gold
Horace "Lefty" Gwynne,M,19,157,53,Canada,1932,Los Angeles,Boxing,Boxing Men's Bantamweight,Gold
Olivr Halassy (Haltmayer),M,22,155,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Winslow William Hall,M,20,193,77,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Leslie Charles Hammond,M,27,184,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Thomas "Tommy" Hampson,M,24,184,69,Great Britain,1932,Los Angeles,Athletics,Athletics Men's 800 metres,Gold
Arthur Charles Hind,M,27,173,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Martin Leonard Hindorff,M,35,NA,NA,Bissbi,1932,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold
Horst Hoeck,M,28,NA,NA,Germany,1932,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
"Eleanor G. Holm (-Jarret, -Rose, -Walker, -Whalen)",F,18,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,Gold
Tore Anton Holm,M,35,NA,NA,Bissbi,1932,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold
Mrton Homonnai (Hlavacsek-),M,26,185,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Louis Hostin,M,24,NA,82,France,1932,Los Angeles,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
John R. Huettner,M,25,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
John Hughes,M,29,NA,NA,Great Britain,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Gold
Rudolf Ismayr,M,23,NA,74,Germany,1932,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,Gold
Volmari Fritijof Iso-Hollo (Hollo-),M,25,176,64,Finland,1932,Los Angeles,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Sndor Ivdy,M,29,185,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Sayed Muhammad Jaffar,M,NA,173,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Matti Henrikki Jrvinen,M,23,186,76,Finland,1932,Los Angeles,Athletics,Athletics Men's Javelin Throw,Gold
Burton Albert "Burt" Jastram,M,22,184,84,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Edward Francis "Ed" Jennings,M,34,157,44,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Ivar Valentin Johansson,M,29,NA,NA,Sweden,1932,Los Angeles,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Ivar Valentin Johansson,M,29,NA,NA,Sweden,1932,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Helen Eileen Johns (-Carroll),F,17,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Fernand Jourdant,M,29,NA,NA,France,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
Andr Ren Jousseaum,M,38,NA,NA,France,1932,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
Endre Kabos,M,25,NA,NA,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Alajos Keser,M,27,155,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Ferenc Keser,M,28,155,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Charles Mathias "Charlie" Kieffer,M,21,NA,NA,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Robert Allan "Bob" Kiesel,M,20,178,70,United States,1932,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Kuzuo Kitamura,M,14,NA,NA,Japan,1932,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
Masaji Kiyokawa,M,19,NA,NA,Japan,1932,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,Gold
Jzef Klukowski,M,38,NA,NA,Poland,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Gold
Vin Anselmi Kokkinen,M,32,172,81.5,Finland,1932,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Janusz Tadeusz Kusociski,M,25,167,72,Poland,1932,Los Angeles,Athletics,"Athletics Men's 10,000 metres",Gold
Jacques Baptiste Lebrun,M,21,180,80,France,1932,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,Gold
Lauri Aleksanteri Lehtinen,M,23,174,64,Finland,1932,Los Angeles,Athletics,"Athletics Men's 5,000 metres",Gold
Ren Alphonse Lemoine,M,26,NA,NA,France,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Mario Lertora,M,34,165,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
Franois Xavier Edmond Marie Lesage,M,46,NA,NA,France,1932,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Individual",Gold
Franois Xavier Edmond Marie Lesage,M,46,NA,NA,France,1932,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
"Andrew Jackson Libano, Jr.",M,29,NA,NA,Jupiter,1932,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,Gold
Santiago Alberto Lovell Birnes,M,20,190,NA,Argentina,1932,Los Angeles,Boxing,Boxing Men's Heavyweight,Gold
Helene Emma Madison,F,19,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,Gold
Helene Emma Madison,F,19,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Gold
Helene Emma Madison,F,19,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Erik Malmberg,M,35,NA,NA,Sweden,1932,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Charles Lonce Pierre Marion,M,45,NA,NA,France,1932,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
Gustavo Marzi,M,23,167,NA,Italy,1932,Los Angeles,Fencing,"Fencing Men's Foil, Individual",Gold
Josephine Eveline McKim (-Chalmers),F,22,NA,NA,United States,1932,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Duncan Anderson McNaughton,M,21,193,80,Canada,1932,Los Angeles,Athletics,Athletics Men's High Jump,Gold
Peter Joseph Mehringer,M,22,NA,NA,United States,1932,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Walter Meyer,M,27,NA,NA,Germany,1932,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
William Waring "Bill" Miller,M,19,172,70,United States,1932,Los Angeles,Athletics,Athletics Men's Pole Vault,Gold
Masude Ali Khan Minhas,M,NA,178,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Yasuji Miyazaki,M,15,179,66,Japan,1932,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,Gold
Yasuji Miyazaki,M,15,179,66,Japan,1932,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Pierre Montenot,M,47,NA,NA,France,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
Richard Fulton Moore,M,21,167,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Alan C. Morgan,M,23,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Lorenzo "Renzo" Morigi,M,37,167,NA,Italy,1932,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Ellen S. Mller-Preis,F,20,173,NA,Austria,1932,Los Angeles,Fencing,"Fencing Women's Foil, Individual",Gold
Kenneth "Ken" Myers,M,35,185,79,United States,1932,Los Angeles,Rowing,Rowing Men's Double Sculls,Gold
Ern Nagy,M,33,NA,NA,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Chuhei Nanbu,M,28,170,67,Japan,1932,Los Angeles,Athletics,Athletics Men's Triple Jump,Gold
Jnos (James) Nmeth,M,26,185,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Romeo Neri,M,29,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Romeo Neri,M,29,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
Romeo Neri,M,29,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Carlheinz Neumann,M,26,NA,NA,Germany,1932,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
Takeichi Nishi,M,30,NA,NA,Japan,1932,Los Angeles,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
Patrick "Pat" O'Callaghan,M,26,180,98,Ireland,1932,Los Angeles,Athletics,Athletics Men's Hammer Throw,Gold
Giuseppe Olmo,M,20,167,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Road Race, Team",Gold
Johan Gabriel Oxenstierna af Korsholm och Wasa,M,32,NA,NA,Sweden,1932,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Charles Bnoni Louis Pacme,M,29,NA,NA,France,1932,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Charles Ferdinand Pahud de Mortanges,M,36,NA,NA,Netherlands,1932,Los Angeles,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
Attilio Pavesi,M,21,167,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",Gold
Attilio Pavesi,M,21,167,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Road Race, Team",Gold
Robert Edward "Bob" Pearce,M,24,NA,NA,United States,1932,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Henry Robert "Bobby" Pearce,M,26,188,92,Australia,1932,Los Angeles,Rowing,Rowing Men's Single Sculls,Gold
Mario Paolo Pedretti,M,26,170,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Istvn Pelle,M,25,NA,NA,Hungary,1932,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Istvn Pelle,M,25,NA,NA,Hungary,1932,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Maurice Perrin,M,20,NA,NA,France,1932,Los Angeles,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Attila Petschauer,M,27,NA,NA,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Herman Matinpoika "Hermanni" Pihlajamki,M,28,NA,NA,Finland,1932,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Gyrgy Piller (Jekelfalussy-),M,33,NA,NA,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",Gold
Gyrgy Piller (Jekelfalussy-),M,33,NA,NA,Hungary,1932,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Broome Eric Pinniger,M,29,180,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Jean Piot,M,42,NA,NA,France,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Gold
Jean Piot,M,42,NA,NA,France,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
Dorothy Poynton-Hill (-Teuber),F,17,NA,NA,United States,1932,Los Angeles,Diving,Diving Women's Platform,Gold
Johan Cornelius Richthoff,M,34,NA,NA,Sweden,1932,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
Carmelo Ambrosio Robledo,M,20,165,NA,Argentina,1932,Los Angeles,Boxing,Boxing Men's Featherweight,Gold
Annette Joan Rogers (-Kelly),F,18,162,50,United States,1932,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Bertil Vilhelm Rnnmark,M,26,NA,NA,Sweden,1932,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
George Helm Roth,M,21,NA,NA,United States,1932,Los Angeles,Gymnastics,Gymnastics Men's Club Swinging,Gold
Jean Baptiste Marie Gustave Saack,M,47,NA,NA,France,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
"George J. Saling, Jr.",M,23,190,77,United States,1932,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Gold
Edwin Lyle "Ed" Salisbury,M,22,188,77,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Mikls Srkny,M,23,185,NA,Hungary,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Joseph Anthony "Joe" Schauers,M,23,NA,NA,United States,1932,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Bernard Jules Robert Schmetz,M,28,189,92,France,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
Franz Xaver Schmid,M,27,NA,NA,Germany,1932,Los Angeles,Alpinism,Alpinism Mixed Alpinism,Gold
Anton "Toni" Schmid,M,22,NA,NA,Germany,1932,Los Angeles,Alpinism,Alpinism Mixed Alpinism,Gold
Guglielmo Segato,M,26,167,NA,Italy,1932,Los Angeles,Cycling,"Cycling Men's Road Race, Team",Gold
Leo Joseph Sexton,M,22,193,108,United States,1932,Los Angeles,Athletics,Athletics Men's Shot Put,Gold
Jean Marie Shiley (-Newhouse),F,20,172,61,United States,1932,Los Angeles,Athletics,Athletics Women's High Jump,Gold
Gurmit Singh Kullar,M,NA,170,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Roop Singh Bais,M,21,170,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Jaroslav Skobla,M,33,178,83,Czechoslovakia,1932,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight,Gold
Edwin Harold Smith,M,23,NA,NA,United States,1932,Los Angeles,Diving,Diving Men's Platform,Gold
Joachim Spremberg,M,23,NA,NA,Germany,1932,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
Lawrence "Laurie" Stevens,M,19,NA,NA,South Africa,1932,Los Angeles,Boxing,Boxing Men's Lightweight,Gold
William Patrick "Pat" Sullivan,M,22,173,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Robert Mandel "Bob" Sutton,M,21,NA,NA,Angelita,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Raymond Andr Marie Suvigny,M,29,NA,59,France,1932,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,Gold
Johan Rudolf Svensson,M,33,NA,NA,Sweden,1932,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Georges Charles Armand Tainturier,M,42,NA,NA,France,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Gold
Carlyle Carrol Tapsell,M,23,182,NA,India,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Earl Foster Thomson,M,31,NA,NA,United States,1932,Los Angeles,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Robert Morton Newburgh "Bob" Tisdall,M,25,186,74,Ireland,1932,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,Gold
Franco Tognini,M,24,167,NA,Italy,1932,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
"Thomas Edward ""Eddie"" Tolan, Jr.",M,23,170,65,United States,1932,Los Angeles,Athletics,Athletics Men's 100 metres,Gold
