Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
88,76,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Intel,Germany,2018,Research,127520,,5612.83,9793.536,1635,3.432923547,Cluster,Intel Skylake,2400,SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Intel Cluster,Europe
89,77,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",HPE,Saudi Arabia,2015,Academic,196608,,5536.99,7235.174,2834,1.953772054,MPP,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Cray XC,Asia
90,78,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",HPE,United States,2018,Research,124416,,5444.64,8316.518,1685.73,3.229841078,Cluster,Intel Skylake,2400,SLES12 SP2,Linux,None,20,HPE SGI 8600,North America
91,79,Raven,"ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100",Lenovo,Germany,2021,Research,114624,,5415.98,8803.12,,,Cluster,Intel Ice Lake,2400,SUSE Linux Enterprise Server 15 SP2,Linux,None,36,Lenovo ThinkSystem,Europe
92,80,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",Atos,Finland,2020,Academic,169728,,5388.52,7060.6848,1070,5.036,Cluster,AMD Zen-2 (Rome),2600,bullx SCS,Linux,None,64,BullSequana,Europe
93,81,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",HPE,France,2013,Industry,220800,,5283.11,6712.32,4150,1.273038554,Cluster,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,SGI ICE,Europe
94,82,Berzelius,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",Atos,Sweden,2021,Academic,59520,51840,5253,9636.48,,,Cluster,AMD Zen-2 (Rome),2250,Red Hat Enterprise Linux,Linux,NVIDIA A100,64,NVIDIA DGX,Europe
95,,"DiRAC, Tursa","BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",Atos,United Kingdom,2021,Academic,55552,48384,5228,8580,243.95,21.43062103,Cluster,AMD Zen-2 (Rome),3000,Linux,Linux,NVIDIA A100 40GB,32,BullSequana,Europe
96,83,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",HPE,United States,2019,Academic,88400,70720,5161,6981.4784,1436,3.594011142,Cluster,Intel Cascade lake,2500,CentOS Linux 7,Linux,NVIDIA Tesla V100,20,HP Apollo,North America
97,84,BioHive-1,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",Nvidia,United States,2021,Industry,39680,34560,4902,5709.44,,,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,North America
98,85,Flow Type II subsystem,"PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",Fujitsu,Japan,2020,Academic,79560,70720,4880.46,7519.3,,,Cluster,Intel Cascade lake,2100,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Fujitsu PRIMERGY,Asia
99,86,Eagle,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube",HPE,United States,2018,Research,75600,,4850.66,7257.6,,,Cluster,Intel Skylake,3000,CentOS,Linux,None,18,HPE SGI 8600,North America
100,87,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",HPE,United States,2016,Research,144900,,4788.19,5332.32,1727,2.772547771,Cluster,Intel Broadwell,2300,SUSE Linux Enterprise Server 12 SP1,Linux,None,18,SGI ICE,North America
101,88,Betzy,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",Atos,Norway,2020,Academic,172032,,4724.79,6193.15,,,Cluster,AMD Zen-2 (Rome),2250,RHEL 7.7,Linux,None,64,BullSequana,Europe
102,89,PARAM Siddhi-AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,India,2020,Research,41664,36288,4619,5267.14,,,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,Asia
103,90,ITO - Subsystem A,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR",Fujitsu,Japan,2018,Academic,72000,,4540.69,6912,,,Cluster,Intel Skylake,3000,Redhat Enterprise Linux 7,Linux,None,18,Fujitsu PRIMERGY,Asia
104,91,Discoverer,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR",Atos,Bulgaria,2021,Academic,144384,,4518.87,5942,,,Cluster,AMD Zen-2 (Rome),2600,Linux,Linux,None,64,BullSequana,Europe
105,92,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",HPE,France,2019,Academic,93960,83520,4478,7345.562,,,Cluster,Intel Cascade lake,2500,RHEL 6.8,Linux,NVIDIA Tesla V100 SXM2,20,HPE SGI 8600,Europe
106,93,Wisteria/BDEC-01 (Aquarius),"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",Fujitsu,Japan,2021,Academic,42120,38880,4425,7268.83,183.93,24.05806557,Cluster,Intel Ice Lake,2400,Linux,Linux,NVIDIA A100 SXM4 40 GB,36,Fujitsu PRIMERGY,Asia
107,94,Atlas,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Atos,Brazil,2020,Industry,91936,87040,4376,8848.486,546.58,8.006147316,Cluster,Intel Cascade lake,2600,CentOS,Linux,NVIDIA Tesla V100,18,Bull Cluster,South America
108,95,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,China,2018,Vendor,163840,131072,4325,6134.1696,380,11.38157895,Cluster,X86_64,2000,CentOS,Linux,Deep Computing Processor,32,Sugon Cluster,Asia
109,96,CRONOS,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",Atos,France,2020,Industry,81600,,4299.33,7136.87,1225.53,3.508139336,Cluster,Intel Cascade lake,2400,Linux,Linux,None,24,BullSequana,Europe
110,97,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path",Fujitsu,Japan,2019,Academic,76608,,4289.85,6618.931,845.09,5.076204901,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Fujitsu PRIMERGY,Asia
111,98,SNL/NNSA CTS-1 Manzano,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",Penguin Computing,United States,2020,Research,71424,,4281,6628.15,960,4.459375,Cluster,Intel Cascade lake,2900,Linux/TOSS,Linux,None,24,Penguin Computing Cluster,North America
112,99,,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",HPE,Japan,2019,Research,70416,66560,4128,5783.808,,,Cluster,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,HP Apollo,Asia
113,101,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",Atos,France,2017,Research,79488,,4065.55,6635.52,917,4.433533261,Cluster,Intel Skylake,2700,bullx SCS,Linux,None,24,BullSequana,Europe
114,102,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",HPE,United States,2015,Industry,145920,,4042.46,5369.856,1800,2.245811111,MPP,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Cray XC,North America
115,,Warhawk,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",HPE,United States,2021,Government,129920,,4033.5,5404.67,,,MPP,AMD Zen-2 (Rome),2600,SLES15 SP2,Linux,None,64,HPE Cray EX,North America
116,123,DGX Saturn V,"NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100, Infiniband EDR",Nvidia,United States,2018,Vendor,87040,81920,3998,7414.78,,,Cluster,Intel Broadwell,2200,Ubuntu,Linux,NVIDIA Tesla V100,20,NVIDIA DGX,North America
117,103,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,United Kingdom,2016,Research,126468,,3944.68,4249.325,1897.02,2.079408757,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Europe
118,104,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,United Kingdom,2016,Research,126468,,3944.68,4249.325,1897.02,2.079408757,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Europe
119,105,,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100",NEC,Germany,2020,Research,18688,,3870.1,5605.63,647.99,5.972468711,Cluster,NEC Vector Engine,1584,VEOS,Linux,None,8,SX-Aurora TSUBASA,Europe
120,106,VEGA HPC CPU,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox InfiniBand HDR100",Atos,Slovenia,2021,Research,122880,,3822,5367,,,Cluster,AMD Zen-2 (Rome),2600,Linux,Linux,None,64,BullSequana,Europe
121,107,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,India,2018,Research,119232,,3763.94,4006.195,1353.23,2.78144883,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Asia
122,108,,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",HPE,Japan,2019,Industry,65208,61440,3712,5365.0944,,,Cluster,Intel Skylake,2700,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,HP Apollo,Asia
123,109,LLNL Ruby,"Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path",Supermicro,United States,2020,Research,85568,,3700.15,6023.99,,,Cluster,Intel Cascade lake,2200,Linux/TOSS,Linux,None,28,Supermicro SuperServer,North America
124,110,Orion,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",DELL EMC,United States,2019,Academic,70560,,3665.72,5419.008,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Dell PowerEdge Cluster,North America
125,111,IARA,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband",Nvidia,Brazil,2021,Research,24800,21600,3657,4130.4,,,Cluster,AMD Zen-2 (Rome),2250,Ubuntu,Linux,NVIDIA A100 SXM4 40 GB,64,NVIDIA DGX,South America
126,112,Joule 2.0,"HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100",HPE,United States,2018,Research,86400,11200,3608.62,5750.784,,,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla P100,20,HP Cluster,North America
127,113,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",Lenovo,Canada,2017,Research,80640,,3599.65999,6253.056,919.42,3.915142144,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,Lenovo ThinkSystem,North America
128,114,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",HPE,United States,2014,Government,72800,62400,3577,6131.84,1498.9,2.386416706,Cluster,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Cray CS-Storm,North America
129,115,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",HPE,United States,2015,Government,72800,62400,3577,6131.84,1498.9,2.386416706,Cluster,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Cray CS-Storm,North America
130,,B1A,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,80640,,3545.65,6967.3,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
131,116,Altair,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",Huawei,Poland,2020,Academic,63360,,3533.61,5879.81,829,4.262496984,Cluster,Intel Cascade lake,2900,CentOS,Linux,None,24,Huawei Cluster,Europe
132,,,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",Lenovo,China,2021,Academic,59392,,3488.84,4941.41,,,Cluster,Intel Ice Lake,2600,Linux,Linux,None,32,Lenovo ThinkSystem,Asia
133,117,Unizah-II,"Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",HPE,Saudi Arabia,2020,Industry,85560,,3487.91,6844.8,,,Cluster,Intel Cascade lake,2500,RHEL 7.7,Linux,None,20,Cray CS,Asia
134,118,Ohtaka,"PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband",DELL EMC,Japan,2020,Research,215040,,3486.1,6881.28,,,Cluster,AMD Zen-2 (Rome),2000,Red Hat Enterprise Linux,Linux,None,64,Dell PowerEdge Cluster,Asia
135,,CARO,"NEC HPC2808Ri-2, AMD EPYC 7702 64C 2GHz, InfiniBand HDR100",NEC,Germany,2021,Research,174592,,3458.3,5586.94,,,Cluster,AMD Zen-2 (Rome),2000,Rocky Linux 8.4,Linux,None,64,NEC Cluster,Europe
136,119,davinci-1,"BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Atos,Italy,2020,Others,38400,34560,3449,6412.03,,,Cluster,AMD Zen-2 (Rome),2800,Linux,Linux,NVIDIA A100,24,BullSequana,Europe
137,120,Cedar (GPU),"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",ACTION,Canada,2020,Academic,67584,61440,3371,5834.4,310,10.87419355,Cluster,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Dell PowerEdge Cluster,North America
138,121,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",HPE,United States,2015,Research,124200,,3318.95,4570.56,5175,0.6413429952,Cluster,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,None,18,SGI ICE,North America
139,122,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Self-made,United States,2017,Industry,60512,55552,3307,4896.512,349.5,9.462088698,Cluster,Intel Broadwell,2200,Ubuntu,Linux,NVIDIA Tesla P100,20,Hybrid Cluster,North America
140,,Topaze-cpu,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",Atos,France,2021,Research,110592,,3261.02,4335.21,,,Cluster,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,BullSequana,Europe
141,124,,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Mellanox InfiniBand HDR100",NEC,Germany,2020,Research,14336,,3250.4,4282.08,565.08,5.752105897,Cluster,NEC Vector Engine,1584,VEOS,Linux,None,8,SX-Aurora TSUBASA,Europe
142,125,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",Atos,United Kingdom,2017,Research,113832,,3243.41,3791.5776,1134,2.860149912,Cluster,Intel Broadwell,2300,bullx SCS,Linux,None,18,BullSequana,Europe
143,126,LLNL/NNSA CTS-1 MAGMA,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Penguin Computing,United States,2019,Research,62400,,3241.24,4592.64,887,3.65416009,Cluster,Intel Cascade lake,2300,Linux/TOSS,Linux,None,48,Penguin Computing Cluster,North America
144,127,Mustang,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",HPE,United States,2018,Government,55296,,3221.4,4777.574,,,Cluster,Intel Skylake,2700,Red Hat Enterprise Linux,Linux,None,24,HPE SGI 8600,North America
145,128,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",IBM,Italy,2014,Industry,72000,42000,3188,4605,1227,2.598207009,Cluster,Intel IvyBridge,2800,Linux,Linux,NVIDIA Tesla K20x,10,IBM iDataPlex,Europe
146,129,Fênix,"Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR",Atos,Brazil,2019,Industry,60480,57600,3161,5371.776,389.76,8.110119048,Cluster,Intel Skylake,3600,CentOS,Linux,NVIDIA Tesla V100,4,Bull Cluster,South America
147,130,Toubkal,"PowerEdge C6420, CRC-StackHPC, Xeon Platnium 8276L 28C 2.2GHz, Mellanox InfiniBand HDR100",DELL EMC,Morocco,2020,Academic,71232,,3158.11,5014.73,,,Cluster,Intel Cascade lake,2200,CentOS Scientific-OpenStack,Linux,None,28,Dell PowerEdge Cluster,Africa
148,,,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,71680,,3151.69,6193.15,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
149,,B5A,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,71680,,3151.69,6193.15,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
150,131,Lichtenberg II (Phase 1),"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",MEGWARE,Germany,2020,Academic,59136,,3148.38,4352.41,690,4.562869565,Cluster,Intel Cascade lake,2300,CentOS,Linux,None,48,MEGWARE Cluster,Europe
151,132,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",HPE,United States,2014,Government,225984,,3143.52,4881.2544,6327.55,0.496798919,MPP,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Cray XC,North America
152,,A1C,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,Singapore,2021,Industry,92160,,3131.25,6193.15,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
153,,A5A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,92160,,3131.25,6193.15,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
154,,A1A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,92160,,3131.25,6193.15,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
155,,A1A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,92160,,3131.25,6193.15,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
156,133,Thunder,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",HPE,United States,2015,Government,152692,27056,3126.24,5610.481,4819.5,0.6486647993,Cluster,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,SGI ICE,North America
157,134,VEGA HPC GPU,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, NVIDIA A100, Infiniband HDR",Atos,Slovenia,2021,Research,33600,25920,3096,4680,,,Cluster,AMD Zen-2 (Rome),2600,Linux,Linux,NVIDIA A100,64,BullSequana,Europe
158,135,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,76000,,3088.64,6080,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
159,136,Alps,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",HPE,Switzerland,2020,Research,128000,,3088.6,4608,637.95,4.841445254,MPP,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,HPE Cray EX,Europe
160,137,Numerical Materials Simulator,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path",HPE,Japan,2020,Research,53568,,3082.12,4971.1104,691.2,4.459085648,Cluster,Intel Cascade lake,2900,CentOS,Linux,None,24,HPE SGI 8600,Asia
161,138,Hera,"Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",HPE,United States,2019,Research,63840,,3080.85,4884.48,,,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,Cray CS,North America
162,139,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",HPE,Japan,2016,Academic,122400,,3057.35,5483.52,748.1,4.086819944,MPP,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Cray XC,Asia
163,140,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",HPE,France,2019,Academic,61120,,3054.35,4867.2,,,Cluster,Intel Cascade lake,2500,RHEL 7.6,Linux,None,20,HPE SGI 8600,Europe
164,141,Mistral,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",Atos,Germany,2015,Research,99072,,3010.68,3962.88,1116,2.697741935,Cluster,Intel Haswell,2500,Bullx Linux,Linux,None,12,Bull Bullx,Europe
165,142,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,73600,,2994.04,5888,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
166,,HHH1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,80640,,2975.29,6451.2,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
167,,III1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,79680,,2975.08,6374.4,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
168,143,Tetralith,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",ClusterVision / Hammer,Sweden,2018,Academic,64512,,2969.19,4335.206,,,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,ClusterVision / Hammer Cluster,Europe
169,,JJJ1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,78720,,2933.42,6297.6,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
170,144,,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,72000,,2931.84,5760,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
171,,A9A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,86016,,2922.5,5780.28,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
172,,A6A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,86016,,2922.5,5780.28,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
173,145,Jean,"Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR",Liqid,United States,2020,Government,55296,,2917.56,4069.79,,,Cluster,Intel Cascade lake,2300,CentOS,Linux,None,48,Liqid Cluster,North America
174,,KKK1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,77760,,2910.09,6220.8,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
175,146,,"Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100",Inspur,China,2020,Academic,49056,,2889.41,4709.38,,,Cluster,Intel Cascade lake,3000,Linux,Linux,None,24,Inspur Cluster,Asia
176,,LLL1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,76800,,2882.76,6144,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
177,147,,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",Lenovo,China,2021,Industry,93600,,2873.41,6289.92,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,26,Lenovo ThinkSystem,Asia
178,,A8A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,84480,,2870.31,5677.06,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
179,,A8A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,84480,,2870.31,5677.06,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
180,,A3A,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",Lenovo,United States,2021,Industry,84480,,2870.31,5677.06,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,24,Lenovo ThinkSystem,North America
181,148,,"ThinkSystem SR650, Xeon Gold 6238 22C 2.1GHz, 10G Ethernet",Lenovo,China,2020,Industry,94160,,2867.64,6327.55,,,Cluster,Intel Cascade lake,2100,Linux,Linux,None,22,Lenovo ThinkSystem,Asia
182,,MMM1,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Lenovo,China,2021,Industry,75840,,2857.04,6067.2,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
183,149,"Karolina, CPU partition","Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100",HPE,Czechia,2021,Academic,92160,,2837.4,3833.86,502.7,5.644320668,Cluster,AMD Zen-2 (Rome),2600,CentOS,Linux,None,64,HP Apollo,Europe
