Company name (CN),Company name (EN),Province,Location,Registered capital (RMB),Registeration,Registeration - year,Status,Abnormality,Punishment,Lawsuit,Company website
长沙年轮骨科医院有限公司,Changsha Shou Surgical Hospital,Hunan,Center,200,"2007-11-07	",2007,Living,0,3,6,"www.nianlun.com.cn	;	www.nianlun001.com	;	www.nianlun001.com	;	www.csgkyy120.com	;	www.nianlun.com.cn	;	www.csnlgkyy.com	;	nianlun004.com	;	4006666120.com	;	nianlun007.com	;	nianlun003.com	;	nianlun005.com	;	nianlun008.com	;	nianlunchina.com	;		"
上海美莱医疗美容门诊部有限公司,"Shanghai Mylike Medical Beauty Clinic Co., Ltd",Shanghai,East,5000,"2014-09-03	",2014,Living,0,10,11,"www.shmylike.com	;	shmylike.com	;	www.ml-kq.com	;	www.sh-mylike.cn	;	www.sh-mylike.com	;	www.mylike021.com	;	www.shmylikezx.com	;	www.shmylike.co	;	www.ml-dental.com	;	www.mylikemr.co	;	www.shlike.net	;	www.shlike.co	;	www.021mylike.net	;	www.mylikesh021.net	;	www.shmylike021.net	;	www.021mylike.co	;	www.shmlmr.co	;	www.mylikesh.co	;	www.mylikesh021.cn	;	www.mylikesh021.com	;	www.77meiren.com	;	www.021mylike.com	;	www.021mylike.cn	;	www.shmylike.cn	;	www.shmylike.net	;	www.177mr.com	;	www.ml-pf.com	;	www.shanghaizhengxing.cn	;	www.shzhengxing.cn	;	www.021mlmr.co	;	www.021mlmr.cn	;	www.021mlmr.com	;	www.021mlmr.net	;	www.shmlmr.net	;	www.shml.top	;	www.shmylikemr.net	;	www.mylikesh021.co	;	www.shmylike021.co	;	www.shmylike.com	;	www.my88.co	;	www.shwzx.cn	;	mylike-sh.com	;	mylike-sh.cc	;	mylike-sh.net	;	mylike0871.com	;	mylike025.cn	;	mylike025.net	;	sh-mylike.net	;	91mylike.com	;	99yimei.com	;	22235555.cn	;	shmylike.com.cn	;	mylikesh.cn	;	mlylmr.com	;	94meiren.com	;	shmylike.cc	;	my333.net	;	mylike021.cc	;	mylike021.cn	;	mylike021.net	;	mylike-sh.cn	;	mylike0871.cn	;	mylike025.com	;	mylike025.cc	;	mylike88.com	;	shmeilai.cn	;	mylikezf.cn	;	mylikesh.net	;	shmlzx.cn	;	mylike.asia	;	mr369.com	;		"
中山尚康阳光医院管理有限公司,"Zhongshan Shangkang Sunshine Hospital Management Co., Ltd.",Guangdong,South,2000,"2017-04-07	",2017,Living,0,0,0,"	"
宿迁市妇产医院有限公司,"Suqian Maternity Hospital Co., Ltd.",Jiangsu,East,13458.33333,"2015-10-30	",2015,Living,0,1,2,"www.sqfcyy.com	;	www.sqsfcyy.com	;	www.sqsfby.com	;	www.sqfcyy.com	;	sqsfcyy.com	;		"
北京五洲妇儿医院有限责任公司,Beijing Wuzhou Women's Hospital,Beijing,North,5000,"2004-06-25	",2004,Living,0,3,5,"www.wuzhouyiyuan.com	;	wuzhouyiyuan.com	;	wuzhoufuer.com	;	www.wuzhouyiyuan.com	;	www.wuzhouhospital.com	;	www.globalcarecn.com	;	www.wuzhoujk.com	;	www.wuzhoufuke.cn	;	www.wuzhouzhengxing.com	;	www.wuzhourenliu.cn	;	www.wuzhoucare.com	;	www.wuzhoufuer.com	;	www.wuzhouyunyu.com	;		"
山西民生医院,Shanxi Minsheng Hospital,Shanxi,North,300,"2003-04-09	",2003,Living,2,0,0,"	"
重庆爱德华医院有限公司,Chongqing Edward's Hospital,Chongqing,South-west,4000,"2005-02-25	",2005,Living,0,2,35,"www.023adh.com/?ppqpx	;	www.cqnxby.com	;	www.nkadh120.com	;	www.cqgdyy.net	;	www.cqnk12580.net	;	www.nkxywy.com	;	www.114cqnk.com	;	www.023nxjk.net	;	www.114cqnk.net	;	www.023by.net	;	www.cqadhrl.com	;	www.adhman.com	;	www.askbyby.com	;	www.023xywy.com	;	www.askadhbyby.com	;	www.120adh.com	;	www.cqnkzx.com	;	www.baiduadh.com	;	www.cqadh.com	;	www.cqrlk.com	;	www.adhgw.com	;	www.cqnkyy.net	;	www.cqfkyy.net	;	www.cqbybyyy.com	;	www.cqgd120.com	;	www.adhask.net	;	www.adhxywy.net	;	www.023fk.net	;	www.65366999.cn	;	www.adhby.net	;	www.cqnxsz.com	;	www.cqadhnkyy.com	;	www.cqadhyy.net	;	www.cqfkyy120.com	;	www.adhck.com	;	www.cqgdyy.com	;	www.cqmryy.com	;	www.cqedward.com	;	www.adhyy120.com	;	www.askadhbyby.net	;	www.askadhby.net	;	www.nkadh120.net	;	www.byaskadh.net	;	www.120nkyy.net	;	www.023nkadh.net	;	www.bycqadh.com	;	www.023js.net	;	www.02365366999.com	;	www.adhbaidu.com	;	www.cqbybyyy.net	;	www.023hospital.net	;	www.cqadhnkyy.net	;	www.nkadh.net	;	www.nkxywy.net	;	www.cqadh023.com	;	www.adhnk023.com	;	www.xywy023.com	;	www.askadhby.com	;	www.adhfkw.com	;	www.023adh.com	;	www.adhrlw.com	;	www.023aidehua.com	;	www.023xywy.net	;	www.65420083.com	;	www.120asknk.com	;	www.cqnk12580.com	;	www.65366999.net	;	www.023nxjk.com	;	www.023adhfk.com	;	www.bybyadh.com	;	www.cqnxyy.com	;	www.023nkadh.com	;	www.byaskadh.com	;	www.cqgcyy.net	;	www.cqadhzx.com	;	www.xywybyby.net	;	www.xywy023.net	;	www.cqnk114.com	;	www.cqadhby.com	;	www.cqadhfk.com	;	www.ebhadh.com	;	www.adhebh.cn	;	www.65366336.com	;	www.023nk.net	;	www.nk120.net	;	www.023askby.com	;	www.cqedward.net	;	www.edwardhospital.net	;	www.023aidehua.net	;	www.023askby.net	;	www.cq023adh.net	;	www.cqadh023.net	;	www.adhnk023.net	;	www.nk023.net	;	www.cqnk114.net	;	www.023cqadh.net	;	www.ebhxywy.com	;		"
北京京北医院有限公司,"Beijing Jingbei Hospital Co., Ltd.",Beijing,North,400,"2003-12-17	",2003,Living,0,3,1,"www.jbyy120.com	;	www.bjjbyy.com	;	jbyy120.com	;	jbyy120.com	;	www.bjjbyy.com	;	www.jbyy120.com	;		"
黑龙江阳光妇儿医院有限公司,"Heilongjiang Sunshine Women and Children Hospital Co., Ltd.",Heilongjiang,North-east,400,"2006-03-27	",2006,Living,0,1,3,"www.ygnz120.com	;	www.hrbygnzyy.com	;	www.hekyy.com	;	www.ygnz120.com	;	www.hrbygyy.com	;	ygnzyy.com	;	ygyyek.com	;	hsekyy.com	;	fkyy0451.cn	;	ygts100.com	;	xxwek.com	;	hebdxzk.com	;	0451fkyy.com	;	ygjk100.com	;	hrbygnzyy.cn	;	ygdx120.com	;	ygnzyy.cn	;	fkyy0451.com	;	ygekyy.com	;	ygdxyjy.com	;		"
宁波江北阳光博爱医院有限公司,"Ningbo Jiangbei Sunshine Boai Hospital Co., Ltd.",Zhejiang,East,5,"2014-12-24	",2014,Living,1,2,0,"www.nbygba.com	;		"
浙江新安国际医院有限公司,Zhejiang Xin'an International Hospital Co. Ltd ,Zhejiang,East,8400,"2005-01-25	",2005,Living,0,3,11,"www.sian.cc	;	www.sian.cc	;	www.sian.cc	;		"
上海德胜堂医院有限公司,"Shanghai Deshengtang Hospital Co., Ltd.",Shanghai,East,300,"2005-09-16	",2005,Living,1,10,6,"360pf.pfb163.com/about/#360pc1fkppc=x05	;	www.shdeshengtang.com	;	www.shdst120.com	;	www.shdstyy.com	;	www.deshengtangyy.com	;	www.021dstyy.com	;		"
上海九龙医院有限公司,"Shanghai Kowloon Hospital Co., Ltd.",Shanghai,East,300,"2005-12-29	",2005,Living,0,5,0,"	"
深圳建国泌尿外科医院,Shenzhen Jianguo Urology Hospital,Guangdong,South,300,"2015-09-24	",2015,Living,0,9,6,"	"
上海久雅医疗美容医院有限公司,"Shanghai Jiuya Medical Aesthetic Hospital Co., Ltd.",Shanghai,East,300,"2008-09-02	",2008,Living,0,11,2,"www.jiuyayiyuan.com	;	jiuyameirong.com	;		"
黑龙江和平医院,Harbin Heping Hospital,Heilongjiang,North-east,200,"2004-03-08	",2004,Living,0,0,1,"	"
铜仁华夏耳鼻喉医院,Tongren Huaxia Otolaryngology Hospital,Guizhou,South-west,1200,"2016-07-25	",2016,Living,0,0,0,"	"
山西现代妇产医院有限责任公司,"Shanxi Modern Maternity Hospital Co., Ltd.",Shanxi,North,3000,"2003-08-26	",2003,Living,0,1,16,"www.sxmw.cn	;	www.sxmw.com.cn	;	www.sxxdfc.com.cn	;	www.0351ck.com	;	www.sxmw.com	;		"
临汾现代女子医院,Linfen Modern Women's Hospital,Shanxi,North,unknown,"2007-09-30	",2007,Living,0,0,0,"	"
上海阿波罗男子医院有限公司,"Shanghai Apollo Men's Hospital Co., Ltd.",Shanghai,East,2500,"2006-01-11	",2006,Living,0,11,5,"www.ablvip.com	;	www.ablvip.com	;	www.sk16.net	;	www.shnk16.com	;	www.haonank.net	;	www.shabl2.com	;	www.ablyy1.com	;	www.ablvip.com	;	www.aponzyy.com	;	www.apozx.com	;	www.shablnk.com	;	www.ablnzyy.com	;	www.ablnank.com	;	www.ablnke.com	;	www.shablvip.com	;	haonank8.net	;	shabl7.com	;	shabl4.com	;	ablyy4.com	;	ablvip1.com	;	apobp.com	;	haonank7.net	;	haonank6.net	;	shabl3.com	;	ablyy2.com	;	ablyy3.com	;	ablvip6.com	;	ablvip3.com	;	apohq.com	;	apomd.com	;	apoyw.com	;	haonank9.net	;	haonank5.net	;	shabl8.com	;	shabl6.com	;	shabl5.com	;	shabl9.com	;	ablyy6.com	;	ablyy5.com	;	ablvip7.com	;	ablvip5.com	;	ablvip4.com	;	ablvip2.com	;		"
东莞市南华妇科医院有限责任公司,"Dongguan Nanhua Women's Hospital Co., Ltd.",Guangdong,South,2000,"2016-08-08	",2016,Living,0,0,0,"www.nhbyby.com	;	www.82226999.com	;	www.nh91.com	;	www.nhfck.cn	;	www.nhfck.net	;	www.nhfkyy.com	;	www.nhfck120.com	;	www.82226999.net	;	www.nhfck120.net	;	www.82226999.cn	;	www.nhfck120.cn	;	www.nhbyby.com	;	www.nanhua120.com	;		"
贵阳和美医院有限公司,"Guiyang Harmonicare hospital Co., Ltd",Guizhou,South-west,256,"2011-03-23	",2011,Living,1,1,0,"www.gymwh.com	;	www.gymwh.com	;	www.gymwh.com	;	www.gyxdyy.com	;	www.gymwh.com	;	www.12hf.com	;	www.0jiu.com	;	www.gynzyy.com	;	gynzfkyy.com	;	gyxdfkyy.com	;		"
佛山市三水区岭南健翔医院有限公司,"Lingnan Jianxiang Hospital Co., Ltd.",Guangdong,South,250,"2019-01-10	",2019,Living,0,0,0,"	"
武汉华美整形外科医院有限公司,"Wuhan Huamei Plastic Surgery Hospital Co., Ltd.",Hubei,Center,1600,"2009-05-18	",2009,Living,0,4,11,"www.whhmzx.com	;	www.whhmzx.com	;	www.whhmwk.com	;	www.wh91.net	;	www.bj91.net	;	www.whhmzx.com	;	www.whhmmr.com	;	www.hmwkmr.com	;	www.85268888.com	;	www.whhmwk.com	;	www.hmzxwk.com	;	www.hmwkyy.com	;	www.hmmrwk.com	;	www.whzxwk.com	;	www.whhmzx.cn	;	www.whhmkq.com	;	www.02785770908.com	;	www.hm91.net	;	www.hmmrkq.com	;	www.hbhmmr.com	;	sx91.net	;	pf91.net	;	hmdjg.net	;	hmdjg.cn	;		"
深圳雪象医院,Shenzhen Xuexiang Hospital,Guangdong,South,200,"2016-02-22	",2016,Living,0,3,14,"www.xx91.cn	;		"
上海咏美医院有限公司,Shanghai Yongmei Hospital,Shanghai,East,200,"2004-11-16	",2004,Living,0,22,3,"	"
广州市番禺玛莉亚医院,Guangzhou Panyu Maria Hospital,Guangdong,South,unknown,"2010-05-19	",2010,Dead,0,0,0,"	"
江阴长庚医院有限公司,Jiangyin Changgeng Hospital,Jiangsu,East,300,"2005-11-08	",2005,Living,0,1,1,"www.nnwjzd.com	;	www.jycgyy120.com	;	www.0510jycg.com	;		"
上海西郊骨科医院有限公司,"Shanghai Xijiao Orthopedic Hospital Co., Ltd.",Shanghai,East,1000,"2005-02-01	",2005,Living,0,10,0,"www.shxjgk.cn	;	www.shxjgkyy.cn	;	www.hfhpgk.com	;	www.shxijiaoyy.cn	;	www.021gkxj.com	;	www.shjbp.com	;	www.021gukw.com	;	www.gkyy120.cn	;	www.021shxj.com	;	www.shanghaixj.cn	;	www.xjgk021.com	;	www.xj021.net	;	www.syfhh.com	;	www.8009996960.com	;	www.81njyy.com	;	www.zjgkyy.com	;	www.jzbyy.com	;	www.shjogo.net	;	www.027gk.net	;	www.sdyyb.com	;	www.d2kj.com	;	www.120shxjgk.com	;	www.hbsyms.com	;	www.yyhybz.com	;	www.xjgubing.com	;	www.xijiaogk.com	;	www.shxjfsb.com	;	www.shxijiao.com	;	www.shxjyzb.com	;	www.shxjjzb.com	;	www.hgkyy.com	;	www.shxjgk.biz	;	www.xjggths.com	;	www.xjfsb.com	;	www.shzhgkyy.com	;	www.shxjguke.cn	;	www.463ganb.com	;	www.shxjgk.cn	;	www.shgk120.com	;	www.shzlfs.com	;	www.shguke.com.cn	;	www.xijiaoyy.com	;	www.shxijiao.cn	;	www.shxlxwx.com	;	www.xijiaogk.cn	;	www.gkyy021.com	;	www.shxjgkyy.com	;	www.xjgukeyy.cn	;	www.shgubing.com	;	www.163guke.com	;	www.shxjmv.com	;	www.xijiaoyy.cn	;	www.cnxjguke.com	;	www.shxjggt.com	;	www.cnxjgk.cn	;	www.shxjgb.com	;	www.cnxijiao.com	;	www.xjgkyy.net	;	www.shxijiaoyy.com	;	eisea.net	;	gkinjc.com	;	gzqhyy.com	;	fslfs120.com	;	gzlqaz.com	;	basecg.com	;	shgukeyy.net	;	xiyygk.com	;	gzzs120.com	;	xjgk120.com	;	hyyfzl.com	;	021gukeyy.com	;	dfjdgf.com	;	shxjyy.com	;	120shhaigukw.com	;	xjhgk.com	;	mtv100.net	;	0512xm.com	;	gkdamk.com	;	gxxb120.com	;	021jzy.com	;	shxzfh.com	;	xjgkyyh.com	;	sdajyp.com	;	qypiao.com	;	pgfyw.com	;	91ybtg.com	;	shhzqt.com	;	sdaj.biz	;	gzzart.com	;	ellaso.com	;	d2jmw.com	;	xiangukeyy.com	;	shxijiao.net	;	hljblq.com	;	xjgky.com	;	021gkb.com	;	szghp.com	;	xayygk.com	;	30crmo.com	;	021xijiao.com	;	ycjyyy.com	;	qzcgb.com	;	1guke.com	;	gs88.org	;	aigkw.com	;	snwsp.com	;	zbjsy.com	;	xjyygk.com	;	asbake.com	;	joxitec.com	;		"
杭州广仁医院有限公司,"Hangzhou Guangren Hospital Co., Ltd.",Zhejiang,East,1000,"2004-05-18	",2004,Living,0,13,6,"www.guangrengb.com	;	www.hzgrnkyy.net	;	www.grnk120.com	;	www.hzbyby.cn	;	www.hangzhougb.com	;	www.hzgrbaby.net	;	www.gryyxb.com	;	www.hzgrgc.com	;	www.zjhzgryy120.com	;	www.zjgryy120.com	;	www.zjgrgb.com	;	www.grbyby.com	;	www.zjhz88.com	;	www.hzgrbyby.com	;	www.hzgrbaby.com	;	www.zjhzgr.com	;	www.zjbybyw.com	;	www.hzgrnkyy.com	;	www.hzpfzk120.com	;	www.hzgryy120.com	;	www.hzgrfuke.com	;	www.guangrenyy.com	;	www.zj16w.com	;	www.01fkyy.com	;	www.byby-120.com	;	www.hzgryy.com	;	hzguangrengbk.com	;	hzgrfuke.cn	;	hzgrbyby.cn	;	hzgrbyby.net	;	hzgbke.com	;	zjhz99.com	;	hzgrbb.com	;	zj16w.net	;	hzgryydz.com	;	0571hzyy.com	;	01byby.com	;	zj16w.cn	;	hzgrgc.cn	;	0571grgb.com	;	zjhz120.com	;	hzpfzk.com	;	hzgrganbing.com	;	guangrengbk.com	;	dyfkw.cn	;	hzgrfuke.net	;	hzyypfk.com	;	hzgryypf.com	;	hzgrgbke.com	;	hzgrgb.com	;	hzgryyxb.com	;		"
重庆华美整形美容医院有限公司,"Chongqing Huamei Plastic and Beauty Hospital Co., Ltd",Chongqing,South-west,2000,"2009-09-09	",2009,Living,0,1,39,"www.cqhuamei.com.cn	;	www.zhifanggl.com	;	www.huameicq.com	;	www.kqmylike.cn	;	www.rococoshow.com	;	www.zhengxingcq.com	;	www.huamei023.com	;	www.cqhmkq.com.cn	;	www.mylikecq.com	;	www.cqhuamei.cn	;	www.023huamei.com	;	www.yxquban.com	;	www.taiwanwzx.com	;	www.cqhmkq.com	;	www.023mylike.com	;	www.cqhuamei.com.cn	;	www.mylikcq.com	;	www.hgwenxiu.com	;	www.96086.org	;	www.cqhmkq.cn	;	www.hmcq.cn	;	www.cqmylike.cn	;	www.cqzhengji.com	;		"
北京嘉佩乐医院,Beijing Capella Hospital,Beijing,North,151,"2002-06-12	",2002,Living,0,2,0,"www.bjjgyy.com	;	www.bjmnyy.com	;	www.jgzjzx.com	;	www.bjguahao-120.com	;	www.chyy114.com	;	www.65856606.org	;	www.65856606.com	;	www.65856606.net	;	65856606.mobi	;	nkcare.net	;	jgxgn.mobi	;	jgzjzx.org	;	bjchyy120.com	;	bjguahao-114.net	;	bjchyy120.mobi	;	chyy-114.mobi	;	chyy-120.net	;	bjjgyy.mobi	;	010-65856606.com	;	jgnkzx.com	;	jgqlx.mobi	;	jgjk120.mobi	;	bjguahao-114.org	;	chyy114.net	;	chyy114.org	;	chyy-120.com	;	010-65856606.org	;	jgzlby.com	;	jgzlbp.com	;	jgqlx.org	;	jgqlx.net	;	jgnxzk.com	;	jgxgn.net	;	bjchyy120.net	;	chyy-114.net	;	nkcare.mobi	;	jgxgn.org	;	jgnkzx.mobi	;	jgnxzk.org	;	jgnxzk.net	;	jgnkzx.net	;	jgnkzx.org	;	jgzjzx.mobi	;	bjguahao-114.com	;	bjchyy120.org	;	bjguahao-120.net	;	bjguahao-120.org	;	qlxjs.com	;	010-65856606.net	;	pangguangyan.org	;	nkno1.com	;	jgzqlx.com	;	jgjk120.net	;	jgzjzx.net	;	jgxgn.com	;	jgjk120.com	;	jgjk120.org	;	bjguahao-114.mobi	;	bjguahao-120.mobi	;	chyy-114.com	;	chyy-120.mobi	;	bjjggb.com	;	010-65856606.mobi	;	nkzhidao.com	;	jgzlyw.com	;	jgzlzq.com	;	jgqlx.com	;	chyy114.mobi	;	chyy-114.org	;	chyy-120.org	;		"
云南华美美莱美容医院有限公司,"Yunnan Huamei Mylike beauty hospital Co., Ltd",Yunnan,South-west,500,"2005-09-16	",2005,Living,0,2,28,"www.ynmylike.com	;	www.ynmylike.cn	;	www.ynmylike.net	;	www.ynmylike.cc	;	www.ynmylike.com.cn	;	www.mylikeyn.com	;	www.mylikeyn.cn	;	www.mylikeyn.net	;	www.mylikeyn.cc	;	www.fxmylike.com	;	www.wcmylike.com	;	www.pfmylike.com	;	www.zxmylike.com	;	www.xsmylike.com	;	www.6151888.cn	;	www.yxmylike.com	;	www.ynkouqiang.com	;	www.kqmylike.com	;	www.ynkouqiang.cn	;	www.askmylike.com	;	www.mylikeyn.com.cn	;	www.kmhm.cn	;	www.08716199999.com	;	www.ynmeilai.cn	;	www.qbface.com	;	www.qubancn.com	;	www.ifxiong.com	;	www.zhushemr.cn	;	www.wgzxw.cn	;	www.zxbar.cn	;	www.myliketa.com	;	www.087166199999.com	;	www.08716199999.net	;	www.08716199999.cc	;	www.08716199999.cn	;	www.08716199999.com.cn	;	www.kmmylike.com	;	www.kmmylike.cc	;	www.kmmylike.net	;	www.ynmylike.com	;		"
北京中京苑医学科学研究院恒安中医院,Beijing Zhongjingyuan Medical Research Institute Hengan Hospital of Traditional Chinese Medicine,Beijing,North,120,"2003-11-26	",2003,Living,0,4,0,"httwww.han999.com	;	hhwww.han999.com	;	httwww.han999.com	;	www.guocuitang.net	;	www.39yi.com.cn	;	www.guocuitang.cn	;		"
江阴市九龙男科研究所有限公司,"Jiangyin Jiulong Andrology Research Institute Co., Ltd.",Jiangsu,East,5,"2012-01-04	",2012,Living,1,0,0,"	"
淮安幸福医院,Huaian Happiness Hospital,Jiangsu,East,100,"2007-05-28	",2007,Living,0,1,0,"www.haxffk.com	;	www.huaianyy.cn	;	www.haxywy.com	;	ha120.org	;	hafuke.cn	;	hankyy.cn	;	haguahao.com	;	huaianyy.com	;	hafk120.net	;	hafuke.net	;	ha120.net	;	huaianyy.org	;	hafk120.cn	;	haxfnk.com	;	hafkyy.cn	;	huaianxf.com	;	huaian39.com	;	haxfyy.com	;	huaianxf.cn	;	huaianxf.org	;	hahospital.com	;	haxfyy.cn	;	haxfyy.org	;		"
黑龙江长庚眼耳鼻喉医院有限公司,"Heilongjiang Changgeng Eye, Ear, Nose and Throat Hospital Co., Ltd.",Heilongjiang,North-east,100,"2009-09-28	",2009,Living,0,1,3,"www.kkebh.com	;	www.hljcgebh.com	;	www.100wgk.com	;	www.hljcgebhyy.com	;	www.120cg.com	;	www.cgebh0451.com	;		"
济南华佑中医医院有限公司,"Jinan Huayou Traditional Chinese Medicine Hospital Co., Ltd.",Shandong,North,100,"2015-06-03	",2015,Living,0,1,0,"www.sdjnjyyy.com	;	www.sdjnjyjh.com	;	www.sddmhjjyy.com	;	www.jnhyjdyy.com	;	www.hyjdyy.com	;	www.sdjnhyjd120.com	;	www.jnhyzyyy.com	;	www.jnhyjd120.com	;	www.jnhy120.com	;	www.hyjy120.com	;	www.jieduyy.com	;	www.sddmhjyyy.com	;		"
苏州美莱美容医院有限公司,"Suzhou Mylike beauty hospital Co., Ltd",Jiangsu,East,500,"2005-08-03	",2005,Living,0,2,12,"www.szmylike.com	;	www.szmylike.com	;	www.szmylike.com	;	www.szmylike.com/index.html	;	www.mlmryy.com	;	www.meilaixxl.net	;	www.yqmylike.com	;	www.szmylike.com	;	www.szmylikepf.com	;	www.szmylike.net	;	www.mylikexxl.com	;	www.mr60.com	;	meilaiyy.com	;	meilaixxl.com	;	meilaizx.net	;	meilaizx.cn	;	szmylike.cn	;	szmylikekq.com	;	szmylikext.com	;	szmylikemb.com	;	szmylikepf.cn	;	szmylikekq.cn	;	meilaiyy.net	;	mylikexxl.cn	;	szmylikext.cn	;	meilaiyy.cn	;	szmylikezx.cn	;	meilaixxl.cn	;	szmylikeks.com	;	szmylikemb.cn	;	szmylikeks.cn	;	szmylikezx.net	;	szmylikepf.net	;		"
北京京城皮肤医院有限公司,Beijing Jingcheng Dermatosis Hospital,Beijing,North,500,"2006-07-05	",2006,Living,0,6,7,"www.pf110.com	;	www.pf110.com	;	www.pf110.com	;	www.pf110.com	;	www.bjpf110.com	;	www.pf110.com	;	www.xypf110.com	;	mypf110.com	;	pf110.com.cn	;	www.pfw120.com	;	www.mr110.cn	;	www.jcyxb.com	;	www.pfxb120.com	;	www.bjjcpfb.cn	;	www.yinyouhui.org	;	www.xiangyun120.com	;	www.pf110.org	;	www.bjyxb.cn	;	tuofa110.com	;	www.bjjkw.net	;	www.京城皮肤病.com	;	www.jcpifu.com	;	www.xypf120.com	;	www.skinbaike.com	;	www.jcbdfk.com	;	www.pifuzhidao.com	;	www.xyjcpf.com	;	www.bjmr110.com	;	www.北京皮肤病.com	;	www.京城皮肤病医院.com	;	yxb010.com	;	jcxbw.com	;	pf200.com	;	jcpfb.cn	;	bdf971.com	;	xypifu.com	;	bjnpx.cn	;	bjcuochuang.com	;	bjjcpfbyy.com	;	jcbbbyy.com	;	jcqcd.com	;	jcxb.net	;	pfjb120.com	;	bai010.com	;	bjbdf001.com	;	jcmr120.com	;	jcnpxk.com	;	120niu.com	;	jcymzx.com	;	北京皮肤病专科医院.com	;	jcbdf.com	;	tuofa010.com	;	xymeifuren.com	;	jcbbb.com	;	jczhifa.com	;	taiji110.com	;	tuofa110.com	;	pifu999.org	;	pfyiliao.com	;	北京京城皮肤病医院.com	;	bjpfb.cn	;	pifujie.com	;	pfjk110.com	;	jcbdfzl.com	;	jcbdfw.com	;	bjgmy.com	;	bjjcbdf.com	;	jcbdf.cn	;		"
厦门登特口腔医院有限公司,"Xiamen Dent Dental Hospital Co., Ltd",Fujian,South,2050,"2016-11-10	",2016,Living,0,1,1,"www.xmdtkq.com	;	www.xmdtkqyy.com	;	www.xmdtkq.cn	;	www.xmdental.net	;	www.dtkqxm.com	;	xmdtkq.net	;		"
呼和浩特市五洲医院有限责任公司,Hohhot Wuzhou Women Hospital,Neimenggu,North,200,"2007-04-24	",2007,Living,0,7,0,"www.3339777.com	;	www.3339000.com	;	www.33396666.com	;	www.3339344.com	;	www.hswzylmr.com	;	www.33390000.com	;	www.hswzyy.com	;	www.hswzfkyy.com	;	www.hswzzxyy.com	;	www.hswzzx.com	;	nmwzym.com	;	3339555.com	;	33392222.com	;	nmwzym.cn	;	3339666.com	;	3339222.com	;		"
青岛曙光医院管理有限公司,"Qingdao Shuguang Hospital Management Co., Ltd.",Shandong,North,500,"2005-11-01	",2005,Living,0,3,5,"www.85732222.cn	;	www.qdsgnk.cn	;	www.85732222.com	;	www.qdshuguang.com	;	www.qdsgnk.com.cn	;	www.qdsgyy.com	;	82652555.com.cn	;	85732222.net	;	85732222.com.cn	;	85732222.cn	;	82652555.cn	;	qdsgnk.cn	;	qdsgnkyy.com.cn	;	qdshuguang.com.cn	;	qdsgnkyy.com	;	shuguangnk.com.cn	;	qdsgnkyy.net	;	qdsgyy120.cn	;	qdnkyy.com.cn	;	sgnkyy.net	;	qdsgyy120.net	;	qdsgyy.com.cn	;	qdsgyy120.com	;	qdsgnk.com	;	qdsgyy120.com.cn	;	sgnkyy.com.cn	;	qdsgnkyy.cn	;		"
青岛坤如玛丽妇产医院有限公司,"Qingdao Kunru Mary Maternity Hospital Co., Ltd.",Shandong,North,800,"2006-05-12	",2006,Living,1,1,6,"www.qdmarie.com	;	new.qdmlgw.com	;	www.qdby120.com	;	www.krmarie.com	;	www.qdmali.com	;	www.qdmarie.com	;	qdmlgw.com	;	85835666.com	;	qdmali.cn	;	85837533.com	;	fk0532.com	;	85812233.com	;	qdmlyy.net	;	mlyygw.com	;	85800299.com	;	ck0532.com	;	qdmlyy.com	;	qdmlyygw.com	;		"
福州誉盛医院投资有限公司,"Fuzhou Yusheng Hospital Investment Co., Ltd.",Fujian,South,2000,"2002-04-19	",2002,Living,0,0,0,"	"
长春阳光妇科医院,Changchun Sunshine Gynecology Hospital,Jilin,North-east,130,"2004-08-18	",2004,Living,0,2,0,"www.ccygyy.com	;	www.ccygyy120.com	;	www.ygfk91.com	;	www.ccygfk.com	;	www.120sun.com	;	ccsun120.com	;	ccygrl.com	;	ygfk0431.com	;	ccygzk.com	;	ccygby.com	;	85805999.com	;	ccygfk120.com	;	ccygnk.com	;	buyun365.com	;	jlsun120.com	;	cc516.com	;	ccyg120.com	;		"
